tf_container  | Epoch 1 Batch 100 Loss 1.0213
tf_container  | Epoch 1 Batch 200 Loss 0.9149
tf_container  | Epoch 1 Batch 300 Loss 0.9137
tf_container  | Epoch 1 Batch 400 Loss 0.8163
tf_container  | Epoch 1 Batch 500 Loss 0.7745
tf_container  | Epoch 1 Batch 600 Loss 0.7206
tf_container  | Epoch 1 Batch 700 Loss 0.7531
tf_container  | Epoch 1 Batch 800 Loss 0.7007
tf_container  | Epoch 1 Batch 900 Loss 0.6688
tf_container  | Epoch 1 Batch 1000 Loss 0.7177
tf_container  | Epoch 1 Batch 1100 Loss 0.7375
tf_container  | Epoch 1 Batch 1200 Loss 0.7543
tf_container  | Epoch 1 Batch 1300 Loss 0.6543
tf_container  | Epoch 1 Batch 1400 Loss 0.6728
tf_container  | Epoch 1 Loss 0.784152
tf_container  | Time taken for 1 epoch 1073.8507573604584 sec
tf_container  |
tf_container  | Epoch 2 Batch 0 Loss 0.6695
tf_container  | Epoch 2 Batch 100 Loss 0.6962
tf_container  | Epoch 2 Batch 200 Loss 0.6358
tf_container  | Epoch 2 Batch 300 Loss 0.7131
tf_container  | Epoch 2 Batch 400 Loss 0.6890
tf_container  | Epoch 2 Batch 500 Loss 0.6499
tf_container  | Epoch 2 Batch 600 Loss 0.6226
tf_container  | Epoch 2 Batch 700 Loss 0.6694
tf_container  | Epoch 2 Batch 800 Loss 0.6233
tf_container  | Epoch 2 Batch 900 Loss 0.6042
tf_container  | Epoch 2 Batch 1000 Loss 0.6445
tf_container  | Epoch 2 Batch 1100 Loss 0.6643
tf_container  | Epoch 2 Batch 1200 Loss 0.6874
tf_container  | Epoch 2 Batch 1300 Loss 0.6035
tf_container  | Epoch 2 Batch 1400 Loss 0.6217
tf_container  | Epoch 2 Loss 0.645753
tf_container  | Time taken for 1 epoch 537.7411866188049 sec
tf_container  |
tf_container  | Epoch 3 Batch 0 Loss 0.6183
tf_container  | Epoch 3 Batch 100 Loss 0.6415
tf_container  | Epoch 3 Batch 200 Loss 0.5883
tf_container  | Epoch 3 Batch 300 Loss 0.6637
tf_container  | Epoch 3 Batch 400 Loss 0.6476
tf_container  | Epoch 3 Batch 500 Loss 0.6077
tf_container  | Epoch 3 Batch 600 Loss 0.5830
tf_container  | Epoch 3 Batch 700 Loss 0.6364
tf_container  | Epoch 3 Batch 800 Loss 0.5956
tf_container  | Epoch 3 Batch 900 Loss 0.5720
tf_container  | Epoch 3 Batch 1000 Loss 0.6054
tf_container  | Epoch 3 Batch 1100 Loss 0.6293
tf_container  | Epoch 3 Batch 1200 Loss 0.6440
tf_container  | Epoch 3 Batch 1300 Loss 0.5704
tf_container  | Epoch 3 Batch 1400 Loss 0.5909
tf_container  | Epoch 3 Loss 0.605138
tf_container  | Time taken for 1 epoch 467.1461977958679 sec
tf_container  |
tf_container  | Epoch 4 Batch 0 Loss 0.5895
tf_container  | Epoch 4 Batch 100 Loss 0.6105
tf_container  | Epoch 4 Batch 200 Loss 0.5562
tf_container  | Epoch 4 Batch 300 Loss 0.6351
tf_container  | Epoch 4 Batch 400 Loss 0.6175
tf_container  | Epoch 4 Batch 500 Loss 0.5756
tf_container  | Epoch 4 Batch 600 Loss 0.5533
tf_container  | Epoch 4 Batch 700 Loss 0.6111
tf_container  | Epoch 4 Batch 800 Loss 0.5715
tf_container  | Epoch 4 Batch 900 Loss 0.5435
tf_container  | Epoch 4 Batch 1000 Loss 0.5858
tf_container  | Epoch 4 Batch 1100 Loss 0.5996
tf_container  | Epoch 4 Batch 1200 Loss 0.6106
tf_container  | Epoch 4 Batch 1300 Loss 0.5406
tf_container  | Epoch 4 Batch 1400 Loss 0.5664
tf_container  | Epoch 4 Loss 0.576535
tf_container  | Time taken for 1 epoch 386.87497782707214 sec
tf_container  |
tf_container  | Epoch 5 Batch 0 Loss 0.5653
tf_container  | Epoch 5 Batch 100 Loss 0.5843
tf_container  | Epoch 5 Batch 200 Loss 0.5326
tf_container  | Epoch 5 Batch 300 Loss 0.6129
tf_container  | Epoch 5 Batch 400 Loss 0.5861
tf_container  | Epoch 5 Batch 500 Loss 0.5529
tf_container  | Epoch 5 Batch 600 Loss 0.5305
tf_container  | Epoch 5 Batch 700 Loss 0.5851
tf_container  | Epoch 5 Batch 800 Loss 0.5502
tf_container  | Epoch 5 Batch 900 Loss 0.5233
tf_container  | Epoch 5 Batch 1000 Loss 0.5629
tf_container  | Epoch 5 Batch 1100 Loss 0.5745
tf_container  | Epoch 5 Batch 1200 Loss 0.5867
tf_container  | Epoch 5 Batch 1300 Loss 0.5166
tf_container  | Epoch 5 Batch 1400 Loss 0.5538
tf_container  | Epoch 5 Loss 0.553748
tf_container  | Time taken for 1 epoch 371.9402132034302 sec
tf_container  |
tf_container  | Epoch 6 Batch 0 Loss 0.5518
tf_container  | Epoch 6 Batch 100 Loss 0.5687
tf_container  | Epoch 6 Batch 200 Loss 0.5195
tf_container  | Epoch 6 Batch 300 Loss 0.5929
tf_container  | Epoch 6 Batch 400 Loss 0.5663
tf_container  | Epoch 6 Batch 500 Loss 0.5374
tf_container  | Epoch 6 Batch 600 Loss 0.5106
tf_container  | Epoch 6 Batch 700 Loss 0.5601
tf_container  | Epoch 6 Batch 800 Loss 0.5245
tf_container  | Epoch 6 Batch 900 Loss 0.5100
tf_container  | Epoch 6 Batch 1000 Loss 0.5431
tf_container  | Epoch 6 Batch 1100 Loss 0.5546
tf_container  | Epoch 6 Batch 1200 Loss 0.5653
tf_container  | Epoch 6 Batch 1300 Loss 0.4994
tf_container  | Epoch 6 Batch 1400 Loss 0.5357
tf_container  | Epoch 6 Loss 0.533494
tf_container  | Time taken for 1 epoch 371.91849756240845 sec
tf_container  |
tf_container  | Epoch 7 Batch 0 Loss 0.5350
tf_container  | Epoch 7 Batch 100 Loss 0.5466
tf_container  | Epoch 7 Batch 200 Loss 0.5064
tf_container  | Epoch 7 Batch 300 Loss 0.5726
tf_container  | Epoch 7 Batch 400 Loss 0.5480
tf_container  | Epoch 7 Batch 500 Loss 0.5301
tf_container  | Epoch 7 Batch 600 Loss 0.4898
tf_container  | Epoch 7 Batch 700 Loss 0.5451
tf_container  | Epoch 7 Batch 800 Loss 0.5054
tf_container  | Epoch 7 Batch 900 Loss 0.4954
tf_container  | Epoch 7 Batch 1000 Loss 0.5248
tf_container  | Epoch 7 Batch 1100 Loss 0.5375
tf_container  | Epoch 7 Batch 1200 Loss 0.5430
tf_container  | Epoch 7 Batch 1300 Loss 0.4802
tf_container  | Epoch 7 Batch 1400 Loss 0.5159
tf_container  | Epoch 7 Loss 0.515385
tf_container  | Time taken for 1 epoch 378.11804246902466 sec
tf_container  |
tf_container  | Epoch 8 Batch 0 Loss 0.5173
tf_container  | Epoch 8 Batch 100 Loss 0.5333
tf_container  | Epoch 8 Batch 200 Loss 0.4881
tf_container  | Epoch 8 Batch 300 Loss 0.5559
tf_container  | Epoch 8 Batch 400 Loss 0.5360
tf_container  | Epoch 8 Batch 500 Loss 0.5103
tf_container  | Epoch 8 Batch 600 Loss 0.4764
tf_container  | Epoch 8 Batch 700 Loss 0.5322
tf_container  | Epoch 8 Batch 800 Loss 0.4908
tf_container  | Epoch 8 Batch 900 Loss 0.4741
tf_container  | Epoch 8 Batch 1000 Loss 0.5084
tf_container  | Epoch 8 Batch 1100 Loss 0.5208
tf_container  | Epoch 8 Batch 1200 Loss 0.5237
tf_container  | Epoch 8 Batch 1300 Loss 0.4704
tf_container  | Epoch 8 Batch 1400 Loss 0.4988
tf_container  | Epoch 8 Loss 0.499659
tf_container  | Time taken for 1 epoch 374.9556291103363 sec
tf_container  |
tf_container  | Epoch 9 Batch 0 Loss 0.5029
tf_container  | Epoch 9 Batch 100 Loss 0.5198
tf_container  | Epoch 9 Batch 200 Loss 0.4793
tf_container  | Epoch 9 Batch 300 Loss 0.5349
tf_container  | Epoch 9 Batch 400 Loss 0.5149
tf_container  | Epoch 9 Batch 500 Loss 0.5012
tf_container  | Epoch 9 Batch 600 Loss 0.4748
tf_container  | Epoch 9 Batch 700 Loss 0.5084
tf_container  | Epoch 9 Batch 800 Loss 0.4738
tf_container  | Epoch 9 Batch 900 Loss 0.4625
tf_container  | Epoch 9 Batch 1000 Loss 0.4947
tf_container  | Epoch 9 Batch 1100 Loss 0.5103
tf_container  | Epoch 9 Batch 1200 Loss 0.5132
tf_container  | Epoch 9 Batch 1300 Loss 0.4617
tf_container  | Epoch 9 Batch 1400 Loss 0.4921
tf_container  | Epoch 9 Loss 0.485578
tf_container  | Time taken for 1 epoch 369.79283905029297 sec
tf_container  |
tf_container  | Epoch 10 Batch 0 Loss 0.4911
tf_container  | Epoch 10 Batch 100 Loss 0.5026
tf_container  | Epoch 10 Batch 200 Loss 0.4610
tf_container  | Epoch 10 Batch 300 Loss 0.5140
tf_container  | Epoch 10 Batch 400 Loss 0.4938
tf_container  | Epoch 10 Batch 500 Loss 0.4855
tf_container  | Epoch 10 Batch 600 Loss 0.4592
tf_container  | Epoch 10 Batch 700 Loss 0.4897
tf_container  | Epoch 10 Batch 800 Loss 0.4689
tf_container  | Epoch 10 Batch 900 Loss 0.4502
tf_container  | Epoch 10 Batch 1000 Loss 0.4838
tf_container  | Epoch 10 Batch 1100 Loss 0.4977
tf_container  | Epoch 10 Batch 1200 Loss 0.4931
tf_container  | Epoch 10 Batch 1300 Loss 0.4479
tf_container  | Epoch 10 Batch 1400 Loss 0.4881
tf_container  | Epoch 10 Loss 0.473557
tf_container  | Time taken for 1 epoch 370.8447198867798 sec
tf_container  |
tf_container  | Epoch 11 Batch 0 Loss 0.4885
tf_container  | Epoch 11 Batch 100 Loss 0.4980
tf_container  | Epoch 11 Batch 200 Loss 0.4518
tf_container  | Epoch 11 Batch 300 Loss 0.4925
tf_container  | Epoch 11 Batch 400 Loss 0.4941
tf_container  | Epoch 11 Batch 500 Loss 0.4745
tf_container  | Epoch 11 Batch 600 Loss 0.4462
tf_container  | Epoch 11 Batch 700 Loss 0.4712
tf_container  | Epoch 11 Batch 800 Loss 0.4484
tf_container  | Epoch 11 Batch 900 Loss 0.4378
tf_container  | Epoch 11 Batch 1000 Loss 0.4777
tf_container  | Epoch 11 Batch 1100 Loss 0.4952
tf_container  | Epoch 11 Batch 1200 Loss 0.4860
tf_container  | Epoch 11 Batch 1300 Loss 0.4294
tf_container  | Epoch 11 Batch 1400 Loss 0.4637
tf_container  | Epoch 11 Loss 0.461470
tf_container  | Time taken for 1 epoch 370.85370659828186 sec
tf_container  |
tf_container  | Epoch 12 Batch 0 Loss 0.4835
tf_container  | Epoch 12 Batch 100 Loss 0.4807
tf_container  | Epoch 12 Batch 200 Loss 0.4447
tf_container  | Epoch 12 Batch 300 Loss 0.4819
tf_container  | Epoch 12 Batch 400 Loss 0.4744
tf_container  | Epoch 12 Batch 500 Loss 0.4682
tf_container  | Epoch 12 Batch 600 Loss 0.4348
tf_container  | Epoch 12 Batch 700 Loss 0.4591
tf_container  | Epoch 12 Batch 800 Loss 0.4332
tf_container  | Epoch 12 Batch 900 Loss 0.4329
tf_container  | Epoch 12 Batch 1000 Loss 0.4622
tf_container  | Epoch 12 Batch 1100 Loss 0.4761
tf_container  | Epoch 12 Batch 1200 Loss 0.4743
